,,,,,,,,,,,,,,,,,,,,,,,,,
,PLAYER NAME,,,CLAN NAME,,,TOTAL APPEARANCE,,,PERFORMANCE ( KILLS ),,,,,,,,,,,,,,,
RANK,PROFESSIONAL,IN - GAME,,TEAM NAME,CLAN ,,MATCHES,EVENTS,,PER MATCH,PER EVENTS,TOTAL KILLS,,,,,,,,,,,,,
1,POISON,ARSENIC,,HORIZON ONE,,,15,5,,11.13333333,33.4,167,,,,,,,,,,,,,
2,CODGOD,CODGOD,,LEGIONARIS,LEGIONS,,13,5,,9.692307692,25.2,126,,,,,,,,,,,,,
3,SPIRIT,SPIRIT,,LEGIONARIS,LEGIONS,,15,5,,8.4,25.2,126,,,,,,,,,,,,,
4,MONA,MONA,,SHIBO ESPORTS,,,15,5,,8.133333333,24.4,122,,,,,,,,,,,,,
5,CALI,CALI,,LEGIONARIS,LEGIONS,,15,5,,7.866666667,23.6,118,,,,,,,,,,,,,
6,CODGHOST,CDGHT YT,,PARIS CHITAURI,,,15,5,,7.733333333,23.2,116,,,,,,,,,,,,,
7,GB CRYPTO,GB_CRYPTO,,SHIBO ESPORTS,,,15,5,,7.466666667,22.4,112,,,,,,,,,,,,,
8,SAMMY,SAMMY,,LEGIONARIS,LEGIONS,,15,5,,7.133333333,21.4,107,,,,,,,,,,,,,
9,ZYZZ,KAETY,,ZEN HITMEN,,,15,5,,7.066666667,21.2,106,,,,,,,,,,,,,
10,CHIKE,CHIKEOP,,SHIBO ESPORTS,,,15,5,,6.666666667,20,100,,,,,,,,,,,,,
11,LARRY,LARRY.PR3,,44 REGENTS,44 DIVISON,,14,5,,7.142857143,20,100,,,,,,,,,,,,,
12,POPE,FELONY,,HORIZON ONE,,,15,5,,6.4,19.2,96,,,,,,,,,,,,,
13,TOLU MARTINS,TOLU,,PREACHER ESPORT,,,15,5,,6.266666667,18.8,94,,,,,,,,,,,,,
14,COLDSKI,COLDSKI,,KYZON ESPORT,,,15,5,,5.6,16.8,84,,,,,,,,,,,,,
15,LEGEND,MOLLYL,,HORIZON ONE,,,12,4,,6.916666667,20.75,83,,,,,,,,,,,,,
16,MALAY,MALAY,,OLD TAKERS,LEGIONS,,14,5,,5.785714286,16.2,81,,,,,,,,,,,,,
17,LAVISH,LXVISH,,SHIBO ESPORTS,,,13,5,,6.076923077,15.8,79,,,,,,,,,,,,,
18,LEX,IHACKS,,PARIS CHITAURI,,,15,5,,5.2,15.6,78,,,,,,,,,,,,,
19,JOZZY,JOZZY,,DFL,DON'T FORGET LOYALTY,,14,5,,4.928571429,13.8,69,,,,,,,,,,,,,
