,,DATA FOR TEAM COLLATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DAY 1,,,,,DAY 2,,,,,DAY 3,,,,,DAY 4,,,,,DAY 5,,,,,DAY 6,,,,,DAY 7,,,,,,SUM TOTAL,,,,,,AVERAGE POINTS,,,,NORMALIZED POINTS,,,,,EXPECTED POINTS,
,NUMBER,TEAM NAME,,WINS,MATCHES,PLACE PTS,KILLS,TOTAL PTS,WINS,MATCHES,PLACE PTS,KILLS,TOTAL PTS,WINS,MATCHES,PLACE PTS,KILLS,TOTAL PTS,WINS,MATCHES,PLACE PTS,KILLS,TOTAL PTS,WINS,MATCHES,PLACE PTS,KILLS,TOTAL PTS,WINS,MATCHES,PLACE PTS,KILLS,TOTAL PTS,WINS,MATCHES,PLACE PTS,KILLS,TOTAL PTS,,WINS,MATCHES,PLACE PTS,KILLS,TOTAL PTS,,WIN RATE,AVG.PLACE,AVG.KILLS,,NORM.KILLS,NORM.PP,NORM.WR,NORM.MP,,xPTS(WR),Xpts(NO WR)
,1,HEXLINE ELITES,,,3,15,32,115,,3,15,34,85,,3,20,50,250,,3,40,62,310,,,,,,,,,,,,,,,,,,12,90,178,760,,0,7.5,14.83333333,,0.453608247,0.231884058,0,1,,40.56476916,53.99223069
,2,NEMESIS ESPORTS,,,3,70,39,245,,3,115,67,450,,3,70,36,210,,3,10,25,135,,,,,,,,,,,,,,,,,,12,265,167,1040,,0,22.08333333,13.91666667,,0.425257732,0.739130435,0,1,,54.931645,70.75358584
,3,DAREDEVILS,,,3,30,21,135,,3,40,17,125,,3,25,20,125,,3,40,20,120,,,,,,,,,,,,,,,,,,12,135,78,505,,0,11.25,6.5,,0.195876289,0.362318841,0,1,,36.74585388,49.53682952
,4,DFL,,,3,20,50,270,,3,20,38,210,,3,45,70,395,,3,50,59,345,,,,,,,,,,,,,,,,,,12,135,217,1220,,0,11.25,18.08333333,,0.554123711,0.362318841,0,1,,47.49327656,62.07548932
,5,RAZE MATRIX,,,3,55,39,190,,3,15,17,100,,3,85,40,285,,3,35,52,295,,,,,,,,,,,,,,,,,,12,190,148,870,,0,15.83333333,12.33333333,,0.37628866,0.52173913,0,1,,46.94083371,61.43097266
,6,WICKED ENTITIES,,,3,75,45,300,,3,35,45,260,,3,40,48,280,,3,25,15,100,,,,,,,,,,,,,,,,,,12,175,153,940,,0,14.58333333,12.75,,0.389175258,0.47826087,0,1,,46.02308382,60.36026446
,7,AGILE ESPORT,,,,,,,,3,20,44,200,,3,50,78,440,,3,15,27,110,,,,,,,,,,,,,,,,,,9,85,149,750,,0,9.444444444,16.55555556,,0.378865979,0.217391304,0,0.7,,31.88771851,41.86900493
,8,PREACHER ESPORT,,,3,0,6,-50,,3,80,61,385,,3,60,65,385,,3,50,81,455,,,,,,,,,,,,,,,,,,12,190,213,1175,,0,15.83333333,17.75,,0.543814433,0.52173913,0,1,,51.9666069,67.29437472
,9,RAZE ROYALS,,,3,35,42,185,,3,45,52,265,,3,55,29,200,,3,40,55,315,,,,,,,,,,,,,,,,,,12,175,178,965,,0,14.58333333,14.83333333,,0.453608247,0.47826087,0,1,,47.95607351,62.61541909
,10,KYZON ESPORTS,,,3,70,58,320,,3,20,49,265,1,3,75,56,355,,3,45,40,245,,,,,,,,,,,,,,,,,1,12,210,203,1185,,0.083333333,17.5,16.91666667,,0.518041237,0.579710145,0.333333333,1,,59.59920813,68.42129837
,11,KYZON ALLIANCE,,,3,25,27,100,,3,85,48,345,,3,60,22,130,,3,45,36,145,,,,,,,,,,,,,,,,,,12,215,133,720,,0,17.91666667,11.08333333,,0.337628866,0.594202899,0,1,,47.95495294,62.61411176
,12,SHIBO ESPORTS,,1,3,105,97,590,1,3,110,98,600,,3,35,71,390,1,3,90,124,710,,,,,,,,,,,,,,,,,3,12,340,390,2290,,0.25,28.33333333,32.5,,1,0.956521739,1,1,,98.69565217,98.47826087
,13,HORIZON ONE,,1,3,90,77,455,,3,25,57,310,1,3,115,99,610,,3,125,96,605,,,,,,,,,,,,,,,,,2,12,355,329,1980,,0.166666667,29.58333333,27.41666667,,0.842783505,1,0.666666667,1,,88.61683849,94.49742268
,14,LEGIONARIES,,,3,95,106,625,,3,70,71,425,,3,30,99,525,,3,95,103,610,,,,,,,,,,,,,,,,,,12,290,379,2185,,0,24.16666667,31.58333333,,0.971649485,0.811594203,0,1,,73.49731062,92.41352906
