day_pt,total_membership,interval_start_timestamp
2025-09-24T00:00:00+00:00,2379,2025-09-24T00:00:00+00:00
2025-09-25T00:00:00+00:00,2377,2025-09-25T00:00:00+00:00
2025-09-26T00:00:00+00:00,2379,2025-09-26T00:00:00+00:00
2025-09-27T00:00:00+00:00,2378,2025-09-27T00:00:00+00:00
2025-09-28T00:00:00+00:00,2380,2025-09-28T00:00:00+00:00
2025-09-29T00:00:00+00:00,2379,2025-09-29T00:00:00+00:00
2025-09-30T00:00:00+00:00,2377,2025-09-30T00:00:00+00:00
2025-10-01T00:00:00+00:00,2375,2025-10-01T00:00:00+00:00
2025-10-02T00:00:00+00:00,2374,2025-10-02T00:00:00+00:00
2025-10-03T00:00:00+00:00,2374,2025-10-03T00:00:00+00:00
2025-10-04T00:00:00+00:00,2373,2025-10-04T00:00:00+00:00
2025-10-05T00:00:00+00:00,2371,2025-10-05T00:00:00+00:00
2025-10-06T00:00:00+00:00,2370,2025-10-06T00:00:00+00:00
2025-10-07T00:00:00+00:00,2371,2025-10-07T00:00:00+00:00
2025-10-08T00:00:00+00:00,2371,2025-10-08T00:00:00+00:00
2025-10-09T00:00:00+00:00,2373,2025-10-09T00:00:00+00:00
2025-10-10T00:00:00+00:00,2373,2025-10-10T00:00:00+00:00
2025-10-11T00:00:00+00:00,2377,2025-10-11T00:00:00+00:00
2025-10-12T00:00:00+00:00,2384,2025-10-12T00:00:00+00:00
2025-10-13T00:00:00+00:00,2382,2025-10-13T00:00:00+00:00
2025-10-14T00:00:00+00:00,2388,2025-10-14T00:00:00+00:00
2025-10-15T00:00:00+00:00,2493,2025-10-15T00:00:00+00:00
2025-10-16T00:00:00+00:00,2511,2025-10-16T00:00:00+00:00
2025-10-17T00:00:00+00:00,2565,2025-10-17T00:00:00+00:00
2025-10-18T00:00:00+00:00,2604,2025-10-18T00:00:00+00:00
2025-10-19T00:00:00+00:00,2657,2025-10-19T00:00:00+00:00
2025-10-20T00:00:00+00:00,2668,2025-10-20T00:00:00+00:00
2025-10-21T00:00:00+00:00,2676,2025-10-21T00:00:00+00:00
2025-10-22T00:00:00+00:00,2676,2025-10-22T00:00:00+00:00
2025-10-23T00:00:00+00:00,2692,2025-10-23T00:00:00+00:00
2025-10-24T00:00:00+00:00,2700,2025-10-24T00:00:00+00:00
2025-10-25T00:00:00+00:00,2703,2025-10-25T00:00:00+00:00
2025-10-26T00:00:00+00:00,2707,2025-10-26T00:00:00+00:00
2025-10-27T00:00:00+00:00,2716,2025-10-27T00:00:00+00:00
2025-10-28T00:00:00+00:00,2728,2025-10-28T00:00:00+00:00
2025-10-29T00:00:00+00:00,2735,2025-10-29T00:00:00+00:00
2025-10-30T00:00:00+00:00,2744,2025-10-30T00:00:00+00:00
2025-10-31T00:00:00+00:00,2744,2025-10-31T00:00:00+00:00
2025-11-01T00:00:00+00:00,2744,2025-11-01T00:00:00+00:00
2025-11-02T00:00:00+00:00,2745,2025-11-02T00:00:00+00:00
2025-11-03T00:00:00+00:00,2745,2025-11-03T00:00:00+00:00
2025-11-04T00:00:00+00:00,2748,2025-11-04T00:00:00+00:00
2025-11-05T00:00:00+00:00,2748,2025-11-05T00:00:00+00:00
2025-11-06T00:00:00+00:00,2752,2025-11-06T00:00:00+00:00
2025-11-07T00:00:00+00:00,2753,2025-11-07T00:00:00+00:00
2025-11-08T00:00:00+00:00,2757,2025-11-08T00:00:00+00:00
2025-11-09T00:00:00+00:00,2762,2025-11-09T00:00:00+00:00
2025-11-10T00:00:00+00:00,2763,2025-11-10T00:00:00+00:00
2025-11-11T00:00:00+00:00,2765,2025-11-11T00:00:00+00:00
2025-11-12T00:00:00+00:00,2769,2025-11-12T00:00:00+00:00
2025-11-13T00:00:00+00:00,2770,2025-11-13T00:00:00+00:00
2025-11-14T00:00:00+00:00,2777,2025-11-14T00:00:00+00:00
2025-11-15T00:00:00+00:00,2787,2025-11-15T00:00:00+00:00
2025-11-16T00:00:00+00:00,2799,2025-11-16T00:00:00+00:00
2025-11-17T00:00:00+00:00,2804,2025-11-17T00:00:00+00:00
2025-11-18T00:00:00+00:00,2804,2025-11-18T00:00:00+00:00
2025-11-19T00:00:00+00:00,2805,2025-11-19T00:00:00+00:00
2025-11-20T00:00:00+00:00,2809,2025-11-20T00:00:00+00:00
2025-11-21T00:00:00+00:00,2811,2025-11-21T00:00:00+00:00
2025-11-22T00:00:00+00:00,2809,2025-11-22T00:00:00+00:00
2025-11-23T00:00:00+00:00,2812,2025-11-23T00:00:00+00:00
2025-11-24T00:00:00+00:00,2813,2025-11-24T00:00:00+00:00
2025-11-25T00:00:00+00:00,2813,2025-11-25T00:00:00+00:00
2025-11-26T00:00:00+00:00,2813,2025-11-26T00:00:00+00:00
2025-11-27T00:00:00+00:00,2813,2025-11-27T00:00:00+00:00
2025-11-28T00:00:00+00:00,2813,2025-11-28T00:00:00+00:00
2025-11-29T00:00:00+00:00,2813,2025-11-29T00:00:00+00:00
2025-11-30T00:00:00+00:00,2815,2025-11-30T00:00:00+00:00
2025-12-01T00:00:00+00:00,2816,2025-12-01T00:00:00+00:00
2025-12-02T00:00:00+00:00,2819,2025-12-02T00:00:00+00:00
2025-12-03T00:00:00+00:00,2819,2025-12-03T00:00:00+00:00
2025-12-04T00:00:00+00:00,2815,2025-12-04T00:00:00+00:00
2025-12-05T00:00:00+00:00,2813,2025-12-05T00:00:00+00:00
2025-12-06T00:00:00+00:00,2813,2025-12-06T00:00:00+00:00
2025-12-07T00:00:00+00:00,2819,2025-12-07T00:00:00+00:00
2025-12-08T00:00:00+00:00,2849,2025-12-08T00:00:00+00:00
